Temperature,Rainfall,Humidity,Soil_pH,Nitrogen,Phosphorus,Potassium,Altitude,Region,Crop
6.64,515.12,28.19,7.18,72.31,55.1,44.41,1636.93,0,Wheat
28.43,1939.3,79.37,6.55,90.91,40.92,69.46,326.6,1,Rice
27.65,1387.94,58.51,6.18,82.87,47.27,65.26,1237.62,1,Corn
31.14,795.24,49.28,6.86,62.29,47.34,33.61,452.15,0,Jowar
23.28,760.75,73.45,6.32,63.27,54.22,42.41,451.58,1,Corn
27.72,1243.93,69.43,7.22,93.95,56.8,52.33,1064.2,1,Corn
27.1,745.51,62.55,7.66,43.03,27.19,27.95,252.95,0,Jowar
13.26,245.65,43.72,6.58,52.46,42.18,44.15,2982.31,0,Wheat
24.88,1681.62,75.51,6.55,82.18,72.38,65.52,53.09,1,Rice
32.01,980.77,73.44,5.72,91.89,51.68,41.72,741.31,1,Corn
33.92,2267.34,83.78,6.16,94.54,49.57,40.88,505.13,1,Rice
25.28,992.07,75.55,5.68,69.14,61.77,42.07,677.09,1,Corn
33.75,667.74,47.43,7.87,51.36,34.98,37.7,348.1,0,Jowar
21.82,702.78,44.68,5.74,77.37,41.25,42.25,1280.99,1,Ragi
28.14,2077.09,85.57,5.77,81.44,71.61,64.84,424.29,1,Rice
27.59,1297.88,71.07,5.68,113.23,78.51,43.5,579.1,1,Rice
28.48,512.33,45.23,6.38,63.0,30.11,41.01,1368.19,1,Ragi
23.58,2428.12,81.12,5.62,92.77,68.81,43.18,354.17,1,Rice
20.78,485.46,28.99,6.7,65.57,50.58,45.71,841.77,0,Wheat
7.95,682.63,42.07,6.86,56.07,41.48,44.47,2579.26,0,Wheat
21.78,614.61,49.77,5.03,55.47,46.14,48.23,1392.6,1,Ragi
21.0,470.88,38.5,7.22,72.26,54.67,52.52,1143.55,0,Wheat
12.91,326.06,57.61,7.19,52.08,64.86,54.22,1151.58,0,Wheat
22.88,426.15,62.28,6.03,60.12,25.02,47.82,450.92,0,Jowar
17.53,716.84,35.98,6.31,90.35,56.09,60.17,838.69,0,Wheat
26.25,2449.77,83.75,5.74,116.0,60.34,76.62,488.31,1,Rice
32.33,525.81,29.59,7.28,37.18,46.09,45.16,32.27,0,Jowar
29.34,794.15,33.48,7.8,46.17,29.8,34.27,199.04,0,Jowar
24.95,1132.44,48.58,5.07,57.9,45.03,33.75,1499.55,1,Ragi
32.81,2368.93,74.43,6.22,110.56,65.08,67.16,468.33,1,Rice
18.02,769.2,59.94,5.2,55.69,46.86,60.7,1177.61,1,Ragi
34.08,901.45,37.5,6.64,37.55,34.19,20.02,330.02,0,Jowar
21.65,881.21,54.63,5.98,75.97,57.13,40.39,1341.25,1,Ragi
26.2,709.16,36.57,6.15,63.85,39.01,44.71,93.85,0,Jowar
22.4,935.88,62.48,7.93,47.5,27.58,32.27,177.1,0,Jowar
20.41,734.45,53.1,6.71,68.82,40.48,35.02,1369.09,1,Ragi
6.21,238.08,43.65,6.24,50.08,44.65,34.65,1151.59,0,Wheat
31.17,1352.57,60.47,6.06,82.64,62.1,70.25,462.35,1,Corn
26.75,876.99,62.22,7.24,42.57,37.04,28.3,444.35,0,Jowar
21.69,1730.34,67.94,6.2,101.72,40.83,44.01,326.04,1,Rice
33.29,2336.93,81.72,6.77,108.61,67.68,65.22,456.36,1,Rice
15.55,283.13,41.97,6.95,84.65,38.51,59.07,1321.43,0,Wheat
25.55,1285.52,78.52,6.54,85.19,55.76,58.66,225.5,1,Rice
29.32,651.85,59.57,6.76,63.0,31.79,49.44,668.28,1,Ragi
24.84,908.67,61.78,6.22,92.73,53.35,55.5,1476.79,1,Corn
21.82,787.34,46.7,6.36,40.82,36.45,20.86,60.66,0,Jowar
18.22,530.3,58.84,6.46,55.03,41.61,52.5,824.33,1,Ragi
33.85,884.78,62.56,7.97,30.88,38.99,32.69,432.98,0,Jowar
28.22,1390.22,69.73,6.08,107.66,64.05,55.46,604.09,1,Rice
12.81,260.19,58.88,7.4,78.5,47.13,34.0,2547.14,0,Wheat
25.73,984.51,63.49,7.43,71.43,58.54,52.32,370.61,1,Corn
21.79,1198.88,66.02,5.54,83.49,53.0,71.55,337.69,1,Rice
30.38,1325.21,60.79,7.06,71.1,50.26,43.64,1426.09,1,Corn
25.94,2425.14,67.89,6.15,115.08,73.79,47.56,482.71,1,Rice
23.17,759.94,32.61,7.74,69.01,27.77,33.87,14.72,0,Jowar
13.09,714.14,47.72,6.07,71.87,30.73,57.37,1523.54,0,Wheat
30.01,945.13,72.29,6.76,75.15,44.32,61.37,1326.34,1,Corn
21.11,282.59,33.71,7.37,57.98,54.47,49.16,988.95,0,Wheat
33.04,497.62,29.84,6.01,53.3,38.79,28.27,149.38,0,Jowar
29.42,2036.6,85.98,6.35,104.26,45.57,58.27,422.95,1,Rice
28.52,1004.67,68.38,6.88,80.51,54.27,59.35,968.94,1,Corn
29.42,813.42,44.13,5.97,77.83,39.44,55.89,1655.94,1,Ragi
8.65,351.4,35.02,6.88,71.64,38.1,33.35,1187.05,0,Wheat
20.86,987.24,50.6,7.11,56.24,34.92,20.97,306.23,0,Jowar
20.54,373.31,35.75,7.23,74.51,53.92,51.33,2872.28,0,Wheat
15.22,363.07,31.07,6.59,81.15,63.12,47.07,2224.75,0,Wheat
25.74,505.52,62.98,7.0,58.34,31.66,29.98,196.83,0,Jowar
28.99,1421.66,61.5,6.69,79.8,69.3,64.78,1392.59,1,Corn
32.7,2277.49,68.55,6.71,79.95,62.83,48.18,62.13,1,Rice
28.09,750.25,65.98,7.1,89.13,63.02,65.31,1414.52,1,Corn
28.71,1125.66,76.26,5.83,76.01,64.44,40.03,429.2,1,Corn
26.0,1935.33,84.26,5.71,103.45,60.37,45.91,375.85,1,Rice
18.87,1059.24,76.3,5.93,77.31,68.36,53.03,731.75,1,Corn
27.07,848.89,37.15,6.52,38.79,49.14,25.31,281.67,0,Jowar
27.41,1034.47,50.41,5.94,61.17,29.89,37.12,848.74,1,Ragi
31.02,2246.78,68.07,6.45,103.7,73.87,76.8,12.84,1,Rice
6.56,669.38,28.77,7.33,62.58,53.18,47.34,1608.62,0,Wheat
17.02,804.46,48.4,7.22,41.87,57.57,55.15,958.7,1,Ragi
33.46,2509.03,67.85,5.58,97.36,45.81,41.5,222.31,1,Rice
20.62,432.39,45.9,6.03,63.93,32.61,48.7,2602.7,0,Wheat
23.17,2342.4,77.04,6.5,110.42,59.17,42.71,314.62,1,Rice
30.35,911.32,35.88,6.1,66.08,30.07,24.49,240.42,0,Jowar
20.53,786.77,60.01,6.13,97.96,63.47,61.52,521.15,1,Corn
28.44,631.26,50.37,6.34,61.35,62.89,55.11,327.05,1,Corn
14.72,262.04,54.43,7.14,68.75,45.24,61.63,1436.8,0,Wheat
28.56,1198.32,66.58,6.89,79.46,48.24,41.03,981.86,1,Corn
12.7,762.32,42.93,6.89,71.2,56.68,50.85,1407.68,0,Wheat
22.33,1153.89,42.59,5.71,54.61,53.88,60.18,892.9,1,Ragi
32.84,1657.02,62.21,6.33,85.19,53.25,70.49,59.69,1,Rice
21.43,507.23,40.63,7.4,54.82,35.68,57.34,1364.38,0,Wheat
29.33,995.81,66.73,7.1,84.55,46.83,58.48,1054.83,1,Corn
21.61,389.85,50.95,6.8,74.19,43.67,63.67,2056.72,0,Wheat
29.74,2155.04,89.88,6.9,105.6,56.78,65.38,470.73,1,Rice
26.8,2066.51,67.3,6.0,115.96,51.13,58.31,529.15,1,Rice
21.56,342.74,37.12,7.52,67.51,32.57,36.94,875.71,0,Wheat
